name,userId,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,oldrank_1,oldrank_2,oldrank_3
Louise Jones,792,"Dark Knight, The (2008)",Inception (2010),Gladiator (2000),Forrest Gump (1994),American History X (1998),Batman Begins (2005),Braveheart (1995),"Departed, The (2006)",Kill Bill: Vol. 1 (2003),Eternal Sunshine of the Spotless Mind (2004),Star Wars: Episode V - The Empire Strikes Back (1980),Good Will Hunting (1997),"Dinner Game, The (Dîner de cons, Le) (1998)"
Louise Jones,793,2001: A Space Odyssey (1968),Ghostbusters (a.k.a. Ghost Busters) (1984),Galaxy Quest (1999),Monty Python and the Holy Grail (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Highlander (1986),Braveheart (1995),Superman (1978),"Hunt for Red October, The (1990)",Indiana Jones and the Temple of Doom (1984),Toy Story (1995),"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Louise Jones,794,"Godfather: Part II, The (1974)",American History X (1998),Snatch (2000),"Silence of the Lambs, The (1991)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Scarface (1983),No Country for Old Men (2007),Kill Bill: Vol. 1 (2003),Kill Bill: Vol. 2 (2004),"Big Lebowski, The (1998)",Heat (1995),Seven (a.k.a. Se7en) (1995),Pulp Fiction (1994)
Louise Jones,795,"Bourne Identity, The (2002)",Mission: Impossible (1996),Beauty and the Beast (1991),Stargate (1994),WALL·E (2008),Howl's Moving Castle (Hauru no ugoku shiro) (2004),"Matrix Revolutions, The (2003)","Incredibles, The (2004)",Office Space (1999),True Lies (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Usual Suspects, The (1995)",Pulp Fiction (1994)
Louise Jones,796,"Fugitive, The (1993)",Batman (1989),"Silence of the Lambs, The (1991)",Forrest Gump (1994),Batman Forever (1995),Crimson Tide (1995),Jurassic Park (1993),"Lion King, The (1994)",Outbreak (1995),Ace Ventura: Pet Detective (1994),Toy Story (1995),"American President, The (1995)",Mr. Holland's Opus (1995)
Louise Jones,797,Shrek (2001),Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Forrest Gump (1994),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Gladiator (2000),Minority Report (2002),"Incredibles, The (2004)","Lion King, The (1994)",Eternal Sunshine of the Spotless Mind (2004),Sense and Sensibility (1995),Four Weddings and a Funeral (1994),Dead Poets Society (1989)
Louise Jones,798,"Bourne Identity, The (2002)","Bourne Ultimatum, The (2007)",Fight Club (1999),Catch Me If You Can (2002),"Bourne Supremacy, The (2004)","Prestige, The (2006)",District 9 (2009),"Avengers, The (2012)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Incredibles, The (2004)","Princess Bride, The (1987)",Good Will Hunting (1997),Snatch (2000)
Louise Jones,799,"Monsters, Inc. (2001)",Harry Potter and the Chamber of Secrets (2002),Harry Potter and the Prisoner of Azkaban (2004),Spider-Man (2002),Harry Potter and the Goblet of Fire (2005),Lost in Translation (2003),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Batman Begins (2005),Moulin Rouge (2001),Minority Report (2002),Bridget Jones's Diary (2001),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Pride and Prejudice (1995)
Louise Jones,800,"Avengers, The (2012)","Dark Knight Rises, The (2012)","Dark Knight, The (2008)",Django Unchained (2012),Edge of Tomorrow (2014),Whiplash (2014),"Wolf of Wall Street, The (2013)",Big Hero 6 (2014),Avengers: Age of Ultron (2015),"Grand Budapest Hotel, The (2014)",Inception (2010),Interstellar (2014),Guardians of the Galaxy (2014)
Louise Jones,801,Apollo 13 (1995),Midnight in Paris (2011),Fear and Loathing in Las Vegas (1998),"Others, The (2001)",Clerks (1994),Unforgiven (1992),Dancer in the Dark (2000),"Hunt for Red October, The (1990)",Blue Jasmine (2013),127 Hours (2010),"Godfather, The (1972)",Apocalypse Now (1979),"Godfather: Part II, The (1974)"
Louise Jones,802,(500) Days of Summer (2009),"Notebook, The (2004)",10 Things I Hate About You (1999),Shutter Island (2010),"Perks of Being a Wallflower, The (2012)",Gone Girl (2014),Slumdog Millionaire (2008),Harry Potter and the Half-Blood Prince (2009),Forrest Gump (1994),"Pursuit of Happyness, The (2006)",Dear John (2010),No Strings Attached (2011),Friends with Benefits (2011)
Louise Jones,803,Braveheart (1995),Million Dollar Baby (2004),Stand by Me (1986),Stargate (1994),"Addams Family, The (1991)",Secretary (2002),Waking Life (2001),Indiana Jones and the Last Crusade (1989),25th Hour (2002),"Hate (Haine, La) (1995)",Toy Story (1995),"Usual Suspects, The (1995)",Amateur (1994)
Louise Jones,804,"Princess Bride, The (1987)",Toy Story (1995),Back to the Future (1985),WALL·E (2008),Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),"Matrix, The (1999)",Die Hard (1988),"Monsters, Inc. (2001)","Pan's Labyrinth (Laberinto del fauno, El) (2006)",Batman Begins (2005),Star Wars: Episode IV - A New Hope (1977),"Fugitive, The (1993)",Robin Hood: Men in Tights (1993)
Louise Jones,805,"Dark Crystal, The (1982)",Labyrinth (1986),"Nutty Professor, The (1996)",Sleeper (1973),Batman Forever (1995),In the Line of Fire (1993),Midnight Run (1988),"Saint, The (1997)",Saving Private Ryan (1998),M*A*S*H (a.k.a. MASH) (1970),Toy Story (1995),Jumanji (1995),Grumpier Old Men (1995)
Louise Jones,806,Pulp Fiction (1994),Dead Man Walking (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Shakespeare in Love (1998),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",L.A. Confidential (1997),Leaving Las Vegas (1995),Trainspotting (1996),Taxi Driver (1976),Three Colors: Blue (Trois couleurs: Bleu) (1993),"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",My Life in Pink (Ma vie en rose) (1997)
Louise Jones,807,Schindler's List (1993),Terminator 2: Judgment Day (1991),Aladdin (1992),Fargo (1996),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Beauty and the Beast (1991),Batman (1989),Back to the Future (1985),Star Wars: Episode VI - Return of the Jedi (1983),Saving Private Ryan (1998),Toy Story (1995),"Usual Suspects, The (1995)",Braveheart (1995)
Louise Jones,808,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Godfather: Part II, The (1974)",Star Wars: Episode VI - Return of the Jedi (1983),American Beauty (1999),Fargo (1996),One Flew Over the Cuckoo's Nest (1975),Toy Story (1995),Stand by Me (1986),Casablanca (1942),Indiana Jones and the Last Crusade (1989),Star Wars: Episode IV - A New Hope (1977),"Silence of the Lambs, The (1991)","Godfather, The (1972)"
Louise Jones,809,Mission: Impossible (1996),Twister (1996),Fargo (1996),Star Wars: Episode VI - Return of the Jedi (1983),"Birdcage, The (1996)",Broken Arrow (1996),Phenomenon (1996),Eraser (1996),"Nutty Professor, The (1996)","Time to Kill, A (1996)","Rock, The (1996)",Toy Story (1995),Sabrina (1995)
Louise Jones,810,Goodfellas (1990),"Bridge on the River Kwai, The (1957)",To Kill a Mockingbird (1962),North by Northwest (1959),Schindler's List (1993),"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)","Terminator, The (1984)",Rear Window (1954),Annie Hall (1977),Stand by Me (1986),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Casablanca (1942)
Louise Jones,811,Mission: Impossible (1996),Independence Day (a.k.a. ID4) (1996),"Rock, The (1996)",Dead Man Walking (1995),Willy Wonka & the Chocolate Factory (1971),Twister (1996),"Usual Suspects, The (1995)",Eraser (1996),Pulp Fiction (1994),Mr. Holland's Opus (1995),Toy Story (1995),Heat (1995),"American President, The (1995)"
Louise Jones,812,"Lord of the Rings: The Return of the King, The (2003)",Star Wars: Episode IV - A New Hope (1977),Pulp Fiction (1994),Forrest Gump (1994),Finding Nemo (2003),X-Men (2000),Gladiator (2000),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Toy Story (1995),Spider-Man (2002),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Shawshank Redemption, The (1994)",Jurassic Park (1993)
Louise Jones,813,"Sixth Sense, The (1999)",Groundhog Day (1993),Ferris Bueller's Day Off (1986),"Princess Bride, The (1987)",Beetlejuice (1988),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Silence of the Lambs, The (1991)",There's Something About Mary (1998),Monty Python and the Holy Grail (1975),Shakespeare in Love (1998),E.T. the Extra-Terrestrial (1982),One Flew Over the Cuckoo's Nest (1975),Heathers (1989)
Louise Jones,814,Inception (2010),"Silence of the Lambs, The (1991)",Interstellar (2014),Schindler's List (1993),"Dark Knight, The (2008)","Usual Suspects, The (1995)","Fugitive, The (1993)",Forrest Gump (1994),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Speed (1994),Terminator 2: Judgment Day (1991),Die Hard (1988),"Town, The (2010)"
Louise Jones,815,Back to the Future (1985),Schindler's List (1993),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Rain Man (1988),Sleepless in Seattle (1993),Fight Club (1999),Philadelphia (1993),Die Hard: With a Vengeance (1995),The Butterfly Effect (2004),Indiana Jones and the Last Crusade (1989),"Misérables, Les (1995)","Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)"
Louise Jones,816,Monty Python and the Holy Grail (1975),Toy Story (1995),"Fish Called Wanda, A (1988)",This Is Spinal Tap (1984),"Sting, The (1973)",Raising Arizona (1987),"Blues Brothers, The (1980)",There's Something About Mary (1998),Fargo (1996),Young Frankenstein (1974),"Boot, Das (Boat, The) (1981)",Airplane! (1980),"Postman, The (Postino, Il) (1994)"
Louise Jones,817,True Lies (1994),Aladdin (1992),Mrs. Doubtfire (1993),Clear and Present Danger (1994),Die Hard: With a Vengeance (1995),Outbreak (1995),Terminator 2: Judgment Day (1991),Crimson Tide (1995),Seven (a.k.a. Se7en) (1995),"Net, The (1995)","Bridges of Madison County, The (1995)",Pulp Fiction (1994),"Shawshank Redemption, The (1994)"
Louise Jones,818,"Rock, The (1996)","Birdcage, The (1996)",Broken Arrow (1996),Eraser (1996),Jerry Maguire (1996),Fargo (1996),Executive Decision (1996),"Time to Kill, A (1996)",Dead Man Walking (1995),Ransom (1996),Grumpier Old Men (1995),Father of the Bride Part II (1995),White Squall (1996)
Louise Jones,819,Fight Club (1999),Pulp Fiction (1994),Inception (2010),Donnie Darko (2001),"Departed, The (2006)",Memento (2000),Seven (a.k.a. Se7en) (1995),Eternal Sunshine of the Spotless Mind (2004),Trainspotting (1996),Inglourious Basterds (2009),Reservoir Dogs (1992),"Truman Show, The (1998)",Kill Bill: Vol. 2 (2004)
Louise Jones,820,Seven (a.k.a. Se7en) (1995),"Shawshank Redemption, The (1994)",True Lies (1994),Terminator 2: Judgment Day (1991),Die Hard: With a Vengeance (1995),Toy Story (1995),Apollo 13 (1995),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Batman (1989),Braveheart (1995),Heat (1995),"Usual Suspects, The (1995)",Rumble in the Bronx (Hont faan kui) (1995)
Louise Jones,821,Forrest Gump (1994),Die Hard (1988),Apollo 13 (1995),Blade Runner (1982),Desperado (1995),Outbreak (1995),Happy Gilmore (1996),Casino (1995),"Terminator, The (1984)",Heat (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Babe (1995),Seven (a.k.a. Se7en) (1995)
Louise Jones,822,Seven (a.k.a. Se7en) (1995),Goodfellas (1990),Forrest Gump (1994),Requiem for a Dream (2000),Eternal Sunshine of the Spotless Mind (2004),"Green Mile, The (1999)",Gone Girl (2014),Intouchables (2011),Taxi Driver (1976),Gladiator (2000),Pulp Fiction (1994),"Clockwork Orange, A (1971)","Shining, The (1980)"
Louise Jones,823,True Lies (1994),"Net, The (1995)",Pretty Woman (1990),Pulp Fiction (1994),Broken Arrow (1996),Interview with the Vampire: The Vampire Chronicles (1994),Get Shorty (1995),Four Weddings and a Funeral (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Birdcage, The (1996)",Heat (1995),Nobody's Fool (1994),"Shawshank Redemption, The (1994)"
Louise Jones,824,Taxi Driver (1976),American History X (1998),Memento (2000),Gladiator (2000),Star Wars: Episode V - The Empire Strikes Back (1980),Fargo (1996),Braveheart (1995),Snatch (2000),Shutter Island (2010),City of God (Cidade de Deus) (2002),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)",Pulp Fiction (1994)
Louise Jones,825,Fight Club (1999),Inception (2010),Braveheart (1995),Gladiator (2000),"Dark Knight, The (2008)",American Beauty (1999),American History X (1998),Seven (a.k.a. Se7en) (1995),Saving Private Ryan (1998),"Beautiful Mind, A (2001)","Shawshank Redemption, The (1994)",Forrest Gump (1994),Schindler's List (1993)
Louise Jones,826,Kill Bill: Vol. 1 (2003),American Beauty (1999),Gladiator (2000),Kill Bill: Vol. 2 (2004),WALL·E (2008),"Green Mile, The (1999)",Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Toy Story (1995),Batman Begins (2005),Requiem for a Dream (2000),Together (Tillsammans) (2000),Love Actually (2003),Where the Wild Things Are (2009)
Louise Jones,827,Fight Club (1999),Inglourious Basterds (2009),American History X (1998),"Matrix, The (1999)",V for Vendetta (2006),No Country for Old Men (2007),"Bourne Ultimatum, The (2007)",Catch Me If You Can (2002),"Bourne Identity, The (2002)",Slumdog Millionaire (2008),Gangs of New York (2002),"Departed, The (2006)",Into the Wild (2007)
Louise Jones,828,Big (1988),"Great Escape, The (1963)",Mr. Holland's Opus (1995),Driving Miss Daisy (1989),To Kill a Mockingbird (1962),Backdraft (1991),Indiana Jones and the Last Crusade (1989),"American President, The (1995)",Trading Places (1983),"Christmas Story, A (1983)",Braveheart (1995),Apollo 13 (1995),Moonlight and Valentino (1995)
Louise Jones,829,"Bourne Identity, The (2002)","Matrix, The (1999)",Spider-Man (2002),Catch Me If You Can (2002),Memento (2000),"Beautiful Mind, A (2001)",Spider-Man 2 (2004),Shrek (2001),"Bourne Supremacy, The (2004)",Donnie Darko (2001),"Fifth Element, The (1997)","Truman Show, The (1998)","Godfather, The (1972)"
Louise Jones,830,Monty Python and the Holy Grail (1975),"Fifth Element, The (1997)",Demolition Man (1993),Dances with Wolves (1990),Braveheart (1995),"Crow, The (1994)",Waterworld (1995),"Abyss, The (1989)",Desperado (1995),"Lion King, The (1994)",Toy Story (1995),From Dusk Till Dawn (1996),Pulp Fiction (1994)
Louise Jones,831,"Silence of the Lambs, The (1991)",Schindler's List (1993),Inception (2010),Pulp Fiction (1994),"Godfather, The (1972)","Matrix, The (1999)",Good Will Hunting (1997),One Flew Over the Cuckoo's Nest (1975),American History X (1998),Memento (2000),"Shawshank Redemption, The (1994)",Forrest Gump (1994),12 Angry Men (1957)
Louise Jones,832,Shakespeare in Love (1998),"Big Lebowski, The (1998)",2001: A Space Odyssey (1968),Apocalypse Now (1979),No Country for Old Men (2007),Citizen Kane (1941),Heat (1995),Cinema Paradiso (Nuovo cinema Paradiso) (1989),Vertigo (1958),Eternal Sunshine of the Spotless Mind (2004),"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)","Conversation, The (1974)","Lives of Others, The (Das leben der Anderen) (2006)"
Louise Jones,833,Schindler's List (1993),WALL·E (2008),"Usual Suspects, The (1995)","Dark Knight, The (2008)",Spirited Away (Sen to Chihiro no kamikakushi) (2001),Inception (2010),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Iron Man (2008),Batman Begins (2005),Eternal Sunshine of the Spotless Mind (2004),True Lies (1994),Fight Club (1999),Galaxy Quest (1999)
Louise Jones,834,Dead Man Walking (1995),"Shawshank Redemption, The (1994)",Leaving Las Vegas (1995),Dances with Wolves (1990),Batman (1989),Sense and Sensibility (1995),Terminator 2: Judgment Day (1991),True Lies (1994),Phenomenon (1996),"Postman, The (Postino, Il) (1994)",Toy Story (1995),Star Wars: Episode IV - A New Hope (1977),Schindler's List (1993)
Louise Jones,835,"Lord of the Rings: The Return of the King, The (2003)",Pulp Fiction (1994),"Sixth Sense, The (1999)","Usual Suspects, The (1995)",Schindler's List (1993),"Fugitive, The (1993)",Fargo (1996),American Beauty (1999),Braveheart (1995),"Matrix, The (1999)","Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Hairspray (1988),Quiz Show (1994)
Louise Jones,836,Ferris Bueller's Day Off (1986),Mulan (1998),L.A. Confidential (1997),"Fish Called Wanda, A (1988)",Runaway Bride (1999),"Crying Game, The (1992)",Mrs. Doubtfire (1993),Jaws (1975),Stand by Me (1986),Raising Arizona (1987),Sense and Sensibility (1995),Babe (1995),Clueless (1995)
Louise Jones,837,True Lies (1994),E.T. the Extra-Terrestrial (1982),Terminator 2: Judgment Day (1991),Reservoir Dogs (1992),Gladiator (2000),There's Something About Mary (1998),X2: X-Men United (2003),Austin Powers: International Man of Mystery (1997),Dumb & Dumber (Dumb and Dumber) (1994),"Big Lebowski, The (1998)",Sabrina (1995),Seven (a.k.a. Se7en) (1995),Clerks (1994)
Louise Jones,838,Fargo (1996),Eraser (1996),Willy Wonka & the Chocolate Factory (1971),Star Wars: Episode IV - A New Hope (1977),Jerry Maguire (1996),Dead Man Walking (1995),"Time to Kill, A (1996)",Star Trek: First Contact (1996),Father of the Bride Part II (1995),Ransom (1996),Mr. Holland's Opus (1995),Phenomenon (1996),Sense and Sensibility (1995)
Louise Jones,839,"Lord of the Rings: The Return of the King, The (2003)","Sixth Sense, The (1999)",Gladiator (2000),Finding Nemo (2003),American Beauty (1999),"Monsters, Inc. (2001)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Godfather, The (1972)",Memento (2000),Spider-Man (2002),Goodfellas (1990),"Matrix, The (1999)",Fight Club (1999)
Louise Jones,840,Braveheart (1995),Mission: Impossible (1996),Batman Forever (1995),Outbreak (1995),Interview with the Vampire: The Vampire Chronicles (1994),"Net, The (1995)",Dead Man Walking (1995),Crimson Tide (1995),While You Were Sleeping (1995),Clueless (1995),Heat (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Pulp Fiction (1994)
Louise Jones,841,Pretty Woman (1990),Sleepless in Seattle (1993),When Harry Met Sally... (1989),Ferris Bueller's Day Off (1986),Pulp Fiction (1994),Schindler's List (1993),Mrs. Doubtfire (1993),"Sixth Sense, The (1999)","American President, The (1995)",Ghostbusters (a.k.a. Ghost Busters) (1984),Clueless (1995),Legends of the Fall (1994),While You Were Sleeping (1995)
Louise Jones,842,Speed (1994),While You Were Sleeping (1995),Schindler's List (1993),Interview with the Vampire: The Vampire Chronicles (1994),"Shawshank Redemption, The (1994)",Seven (a.k.a. Se7en) (1995),Addams Family Values (1993),"Client, The (1994)",Disclosure (1994),Dave (1993),Babe (1995),Braveheart (1995),Nell (1994)
Louise Jones,843,"Silence of the Lambs, The (1991)",Seven (a.k.a. Se7en) (1995),"Shawshank Redemption, The (1994)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Goodfellas (1990),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Trainspotting (1996),Fargo (1996),"Fugitive, The (1993)",True Lies (1994),"Usual Suspects, The (1995)",Pulp Fiction (1994),Reservoir Dogs (1992)
Louise Jones,844,Schindler's List (1993),Rear Window (1954),"Crying Game, The (1992)",Citizen Kane (1941),Chinatown (1974),Sling Blade (1996),"Sting, The (1973)",Quiz Show (1994),"Boot, Das (Boat, The) (1981)",Clerks (1994),Sense and Sensibility (1995),Leaving Las Vegas (1995),Persuasion (1995)
Louise Jones,845,Star Wars: Episode VI - Return of the Jedi (1983),"Terminator, The (1984)",Blade Runner (1982),Terminator 2: Judgment Day (1991),E.T. the Extra-Terrestrial (1982),"Lion King, The (1994)",Star Trek II: The Wrath of Khan (1982),"Sting, The (1973)",My Fair Lady (1964),Jurassic Park (1993),Persuasion (1995),Star Wars: Episode IV - A New Hope (1977),Much Ado About Nothing (1993)
Louise Jones,846,Brazil (1985),Pi (1998),Rocky (1976),"Maltese Falcon, The (1941)","Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Boogie Nights (1997),Shrek (2001),It's a Wonderful Life (1946),Singin' in the Rain (1952),"X-Files: Fight the Future, The (1998)","Godfather, The (1972)",Vertigo (1958),Rear Window (1954)
Louise Jones,847,Woman in the Dunes (Suna no onna) (1964),Blissfully Yours (Sud sanaeha) (2002),Celine and Julie Go Boating (Celine et Julie vont en bateau) (1974),Inland Empire (2006),Elephant (2003),I Am Cuba (Soy Cuba/Ya Kuba) (1964),Mind Game (2004),Despicable Me (2010),Serenity (2005),Melancholia (2011),Dead Man Walking (1995),Before Sunrise (1995),Three Colors: Red (Trois couleurs: Rouge) (1994)
Louise Jones,848,Mr. Smith Goes to Washington (1939),"Usual Suspects, The (1995)",Die Hard: With a Vengeance (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),To Kill a Mockingbird (1962),West Side Story (1961),"Manchurian Candidate, The (1962)",Cool Hand Luke (1967),Doctor Zhivago (1965),"Italian Job, The (2003)","Fugitive, The (1993)","Philadelphia Story, The (1940)",Singin' in the Rain (1952)
Louise Jones,849,Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode V - The Empire Strikes Back (1980),Terminator 2: Judgment Day (1991),"Terminator, The (1984)",Men in Black (a.k.a. MIB) (1997),Independence Day (a.k.a. ID4) (1996),"Matrix, The (1999)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),E.T. the Extra-Terrestrial (1982),Total Recall (1990),Star Wars: Episode IV - A New Hope (1977),Alien (1979),Amadeus (1984)
Louise Jones,850,"Monsters, Inc. (2001)",Shrek (2001),Toy Story (1995),"Lion King, The (1994)","Wizard of Oz, The (1939)",Casablanca (1942),Singin' in the Rain (1952),Rear Window (1954),"Bug's Life, A (1998)","Princess Bride, The (1987)","Brady Bunch Movie, The (1995)",Gone with the Wind (1939),Cat on a Hot Tin Roof (1958)
Louise Jones,851,"Lion King, The (1994)","Usual Suspects, The (1995)",Apollo 13 (1995),Clueless (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Fugitive, The (1993)",Seven (a.k.a. Se7en) (1995),"Firm, The (1993)",Clear and Present Danger (1994),Babe (1995),"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Don Juan DeMarco (1995),French Kiss (1995)
Louise Jones,852,"Usual Suspects, The (1995)",Goodfellas (1990),One Flew Over the Cuckoo's Nest (1975),Forrest Gump (1994),"Matrix, The (1999)",Saving Private Ryan (1998),American Beauty (1999),Braveheart (1995),Good Will Hunting (1997),"Departed, The (2006)","Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)","Godfather, The (1972)"
Louise Jones,853,Toy Story (1995),Twister (1996),"Silence of the Lambs, The (1991)","Usual Suspects, The (1995)",GoldenEye (1995),Outbreak (1995),Ace Ventura: Pet Detective (1994),Apollo 13 (1995),Star Wars: Episode VI - Return of the Jedi (1983),Dead Man Walking (1995),Heat (1995),Seven (a.k.a. Se7en) (1995),Pulp Fiction (1994)
Louise Jones,854,"Firm, The (1993)",While You Were Sleeping (1995),Braveheart (1995),Sleepless in Seattle (1993),Seven (a.k.a. Se7en) (1995),Babe (1995),"Client, The (1994)",Get Shorty (1995),Clueless (1995),Disclosure (1994),Star Trek: Generations (1994),Toy Story (1995),GoldenEye (1995)
Louise Jones,855,Casablanca (1942),Annie Hall (1977),"Godfather: Part II, The (1974)",Chinatown (1974),Taxi Driver (1976),Rear Window (1954),Citizen Kane (1941),North by Northwest (1959),L.A. Confidential (1997),One Flew Over the Cuckoo's Nest (1975),Hoop Dreams (1994),Fargo (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Louise Jones,856,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Catch Me If You Can (2002),Toy Story 3 (2010),"Dark Knight Rises, The (2012)",How to Train Your Dragon (2010),"Lion King, The (1994)",Casino Royale (2006),"Lord of the Rings: The Return of the King, The (2003)",Ocean's Eleven (2001),Fight Club (1999),Toy Story (1995),"Shawshank Redemption, The (1994)",Forrest Gump (1994)
Louise Jones,857,X2: X-Men United (2003),E.T. the Extra-Terrestrial (1982),Donnie Darko (2001),Dumb & Dumber (Dumb and Dumber) (1994),Fargo (1996),Big (1988),"Rock, The (1996)",Beauty and the Beast (1991),Jerry Maguire (1996),There's Something About Mary (1998),Heat (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Star Wars: Episode VI - Return of the Jedi (1983)
Louise Jones,858,Bowling for Columbine (2002),21 Grams (2003),Mulholland Drive (2001),"Princess Bride, The (1987)",Gattaca (1997),Kill Bill: Vol. 2 (2004),Crash (2004),Kill Bill: Vol. 1 (2003),Wonder Boys (2000),Gangs of New York (2002),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",To Live (Huozhe) (1994)
Louise Jones,859,Best in Show (2000),Chinatown (1974),Whale Rider (2002),Glory (1989),"Remains of the Day, The (1993)","Dark Knight Rises, The (2012)",Nine Months (1995),Cape Fear (1991),Say Anything... (1989),Man on Fire (2004),"Usual Suspects, The (1995)",Before Sunrise (1995),Pulp Fiction (1994)
Louise Jones,860,"American Werewolf in London, An (1981)",Poltergeist (1982),Alien³ (a.k.a. Alien 3) (1992),Snatch (2000),As Good as It Gets (1997),Ice Age (2002),"Clockwork Orange, A (1971)",Species (1995),Fight Club (1999),Contact (1997),Stargate (1994),12 Angry Men (1957),Cube (1997)
Louise Jones,861,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Stargate (1994),"Godfather: Part II, The (1974)",Armageddon (1998),Air Force One (1997),Enemy of the State (1998),Jurassic Park (1993),Highlander (1986),"Princess Bride, The (1987)",Broken Arrow (1996),Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)",Blade Runner (1982)
Louise Jones,862,Pulp Fiction (1994),Saving Private Ryan (1998),Star Wars: Episode V - The Empire Strikes Back (1980),Braveheart (1995),Gladiator (2000),One Flew Over the Cuckoo's Nest (1975),Seven (a.k.a. Se7en) (1995),American Beauty (1999),Eternal Sunshine of the Spotless Mind (2004),Django Unchained (2012),"Shawshank Redemption, The (1994)",Forrest Gump (1994),"Godfather, The (1972)"
Louise Jones,863,Pulp Fiction (1994),"Godfather: Part II, The (1974)",Fargo (1996),"Usual Suspects, The (1995)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Goodfellas (1990),Saving Private Ryan (1998),Casablanca (1942),Forrest Gump (1994),Sense and Sensibility (1995),Babe (1995),"Shawshank Redemption, The (1994)"
Louise Jones,864,Braveheart (1995),Four Weddings and a Funeral (1994),GoldenEye (1995),Aladdin (1992),First Knight (1995),"Piano, The (1993)",Species (1995),"American President, The (1995)",Ed Wood (1994),Rob Roy (1995),Heat (1995),"Usual Suspects, The (1995)",Apollo 13 (1995)
Louise Jones,865,Toy Story (1995),"Sixth Sense, The (1999)","Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)","Terminator, The (1984)",Terminator 2: Judgment Day (1991),Cool Hand Luke (1967),"Lord of the Rings: The Two Towers, The (2002)",Amadeus (1984),True Lies (1994),Powder (1995),Now and Then (1995),Clueless (1995)
